# 한국어 사투리 어휘 사전
# 형식: 사투리,표준어,지역

와이라노,우리 아이,경남
와이노,우리,전남
마이,많이,전남
다,이제,전남
마니,매우,제주
디다,있다,경북
시껑,시끄럽다,충청
가마이,아무것도,경남
아이고,아이고,전국
안코아,안 좋아,제주
이잉씨,아니,경북
되는기,되겠네,전북
되제,되겠지,전북
고마워,감사합니다,전국
워매,아,전북
인디,이러하다,전북
괜이나,괜찮아,전남
그라,그래,전남
레예,해서,제주
노,너,제주
우리덜,우리 아이들,전북
영감,남편,전국
임자,이 사람,전국
손아,언니,전남
효자,아들,전국
새옹,아빠,전남
어멍,어머니,전국
으야,어머니,경북
편디,아프다,경남
놀라언께,조금 놀랐다,전북
시운,불쌍하다,경상
다래,그래,전남
나가마이,놀라지 마,전남
님이,당신이,전국
이잉嘿,아니,경북
아잣,아이고,전북
흐어럭,말끔히,전북
허허,하하,경상
마우나,많아,경북
누름,불러라,전남
가빠다,게으르다,전남
까르다,까다롭다,전국
으니다,이러하다,경상
바람이,바람,전국
낮싸,마지막,조선
주야,낮이나 밤이나,전국
깨달닭깨달닭,꿋꿋,전국
소오,소,조선
가만이,가만히,조선
금댕,금방,조선
무놰,뭐라고,전남
하시는,하시는,전국
고를다,고르다,전국
가벼이,가벼이,전국
조타,좋다,경남
안 코다다,안 좋아,제주
나이,나도,제주
아리가,진짜,경남
음다,음,전북
아잣아하나,아무튼,전북
재벌잇당,까칠하다,경남
마파리,말이 많아,전남
IIIKE,그래도,전남
바뽑다,일이 많다,전남
마레,그래,조선
제라,그래,전북
마흐아,몸,조선
으레,이렇게,경북
머라그네,뭐라고,전북
어케,어떻게,전국
디워,되어라,경북
됐제,됐지,전북
게명,그래,전북
노라,너,전남
돼마,되겠네,전북
아닌다,아니다,전북
패로,그럼,경북
어디행,어디 가,서울
어따가,어디로 가,서울
마이노,좀 더,전남
돼매,되겠네,전북
마라,아니라,전북
입에 모도다,입으로 뭐라 하다,전북
마우,많아,전북
아멘다,아무렇다,전북
머라카드래,뭐라고 하더라,전북
다래요,그래요,전남
인마,이놈,전국
자식,아이,전국
으깨끼,이 모양,경북
제라,그래,전북
다,이제,전남
허겁지겁되는,성급하게,전국
되거든,되겠지,전북
무조,무조건,전국
진짜모,진짜,전국
너바,너,전북
머구,뭐,경북
가다,가다,전국
됐제,됐지,경북
례,그래,경남
아조,하자,조선
되언교,되었어,전남
있고,있어,전국
됐제,됐지,전북
마나,좋은 날,전북
되겠나,되겠나요,전북
흠잡다,흠 잡다,전국
되지,되지,전국
됐나,됐었나,전북
아래,아래,전국
제그네,저렇게,경북
인제,이제,전국
되겠네,되겠네,전북
적되로,적도,전국
어,어,전국
되겠제,되겠지,전북
제래,그래,전북
가짜,거짓,전국
남이,다른,경상
그려,그래요,전북
마,나,조선
돼는고,되는고,전북
허떠,나타나다,전국
됨다,됩니다,경북
안계,없어,경남
Maurice,모리,전북
마나,만나,전북
줘,줘,전국
아진짜,아 진짜,전국
아무래,아무렇게,전국
됐거든,됐었지,전북
IIIke,그래도,전남
마웨,많이,전북
아러,하는,전국
며칠,며칠,전국
나,나,전국
으다,이다,경상
되먼,되면,전북
제레,저렇게,전남
된다운다,되었다,전남
아재,아저씨,전남
시방,지금,전북
이제시방,이제 지금,전북
마,나,조선
그라요,그래요,전남
원,아니,전남
그마,그렇게,전남
가마이,아무것도,경남
듯,듯,전국
다,이제,전남
을,물건,전국
머,뭐,전국
으노,으노,경북
주간,이럼,전남
나가는데,나가는데,전남
잔치놓다,잔치하다,조선
마렵다,마렵다,전북
주야,낮이나 밤이나,전국
귀팅,귀가,경상
가만,가만히,전국
가마이,아무것도,경남
사로,새로,전북
제가,저게,전남
고치다,고치다,대게
가뿐,가볍다,전국
하노,하노,전북
가고라우,가는구려,경남
어가,내일,전북
오셀,오늘,전북
옹,저,전국
잠조,네가,전남
예가,저게,전남
씀다,씁니다,경북
빼빼로,빼빼로,전국
조례,조례,전남
으는,이 떼,전북
가,가,전국
으,으,전남
 허,허,전국
아리다,추다,전국
잉뎅,아니,경북
마치,마치,전북
시방,지금,전북
진짜,진짜,전국
안,안,전국
일루,여기로,전북
일러,여기로,전남
예기,저기,경남
그라,그래,전남
노새,너야,전북
가마이,아무것도,경남
워매,아,전북
나가마이,놀라지 마,전남
잔디기,잔디를,전국
고마,고마워,조선
마럽고,끊임없이,전남
써,써라,경상
어서,빨리,전국
마스왈,많이,전북
마레,여기,조선
주시,주세요,전국
가만이,가만히,조선
IV 나레기,무엇,조선
흐으리,아름답다,전국
아이쿠나,힘들다,전국
헐레벌떡,갑자기,전국
웃치다,웃기다,전북
수다,재잘거리다,제주
워매,아,전북
인디,이러하다,전북
괜이나,괜찮아,전남
레예,해서,제주
