key,en,ja,ja_romaji
고지혈증,Hyperlipidemia,高脂血症,Koushikes Shou
통풍,Gout,痛風,Tsuufuu
비만,Obesity,肥満,Himan
만성 설사,Chronic Diarrhea,慢性下痢,Mansei Geri
고콜레스테롤혈증,Hypercholesterolemia,高コレステロール血症,Kou Cholesterol Kesshou
동맥경화,Atherosclerosis,動脈硬化,Doumyaku Kouka
과민성 대장증후군,Irritable Bowel Syndrome (IBS),過敏性腸症候群,Kabinsei Chou Shoukougun
위궤양,Gastric Ulcer,胃潰瘍,Ikaiyou
역류성 식도염,Gastroesophageal Reflux Disease (GERD),逆流性食道炎,Gyakuryuusei Shokudouen
고혈압,Hypertension,高血圧,Kouketsuatsu
당뇨,Diabetes Mellitus,糖尿病,Tounyoubyou
비타민 A 과다증,Hypervitaminosis A,ビタミンA過剰症,Vitamin A Kajoushou
식중독,Food Poisoning,食中毒,Shokuchuudoku
신장 질환,Kidney Disease,腎臓病,Jinzoubyou
심혈관 질환,Cardiovascular Disease,心血管疾患,Shinkekkan Shikkan
갑상선 질환,Thyroid Disease,甲状腺疾患,Koujousen Shikkan
갑상선 기능 저하증,Hypothyroidism,甲状腺機能低下症,Koujousen Kinou Teikashou
신장결석,Kidney Stones (Nephrolithiasis),腎臓結石,Jinzou Kesseki
담석증,Cholelithiasis,胆石症,Tansekishou
췌장염,Pancreatitis,膵臓炎,Suizouen
위염,Gastritis,胃炎,Ien
십이지장궤양,Duodenal Ulcer,十二指腸潰瘍,Juunishichou Kaiyou
지방간,Fatty Liver Disease,脂肪肝,Shiboukan
협심증,Angina Pectoris,狭心症,Kyoushinsou
뇌졸중,Stroke,脳卒中,Nousottuu
빈혈,Anemia,貧血,Hinketsu
간 질환,Liver Disease,肝疾患,Kan Shikkan
치아 질환,Dental Disease,歯科疾患,Shika Shikkan
위산과다,Hyperacidity,胃酸過多,Isan Kata
골다공증,Osteoporosis,骨粗鬆症,Kotsusoshoushou
방광염,Cystitis,膀胱炎,Boukouen
저혈압,Hypotension,低血圧,Teiketsuatsu
견과류 알레르기,Tree Nut and Peanut Allergy,ナッツ類アレルギー,Nattsurui Arerugii
갑각류 알레르기,Crustacean Shellfish Allergy,甲殻類アレルギー,Koukakurui Arerugii
조개류/연체류 알레르기,Molluscan Shellfish Allergy,貝類・軟体類アレルギー,Kairui/Nantairui Arerugii
생선류 알레르기,Fish Allergy,魚類アレルギー,Gyorui Arerugii
과일류 알레르기,Fruit Allergy,果物アレルギー,Kudamono Arerugii
난류 알레르기,Egg Allergy,卵類アレルギー,Ranrui Arerugii
우유/유제품 알레르기,Milk and Dairy Allergy,乳製品アレルギー,Nyouseihin Arerugii
육류 알레르기,Meat Allergy,肉類アレルギー,Nikurui Arerugii
곡류 및 대두 알레르기,Grain and Soy Allergy,穀物・大豆アレルギー,Kokumotsu/Daizu Arerugii
전립선 질환,Prostate Disease,前立腺疾患,Zenritsusen Shikkan
면역결핍증,Immunodeficiency,免疫不全症,Men'eki Fuzenshou
천식,Asthma,喘息,Zensoku
신부전증,Renal Failure,腎不全,Jinfuzen
요로결석,Urolithiasis,尿路結石,Nyouro Kesseki
대장염,Colitis,大腸炎,Daichouen
아나필락시스,Anaphylaxis,アナフィラキシー,Anafirakishii
중독증,Intoxication,中毒症,Chuudokushou
유당불내증,Lactose Intolerance,乳糖不耐症,Nyuutou Futaishou
저혈당증,Hypoglycemia,低血糖症,Teikettoushou
유방암,Breast Cancer,乳がん,Nyugan
자궁근종,Uterine Fibroids,子宮筋腫,Shikyuu Kinshu
치질,Hemorrhoids,痔,Ji
셀레늄 중독증,Selenium Toxicity,セレン中毒症,Seren Chuudokushou
소화불량,Dyspepsia,消化不良,Shouka Furyou
